Location,Key,Value,State,FactSource
Brompton Park,Electorate,Port Adelaide,SA 
Brompton Park Extension,Electorate,Port Adelaide,SA 
West Croydon,Electorate,Port Adelaide,SA 
Woodville Estate,Electorate,Port Adelaide,SA 
Brompton,Electorate,Port Adelaide,SA 
Linden,Electorate,Adelaide,SA 
Bridgewater,Electorate,Mayo,SA 
BAKERS CORNER,Electorate,Wannon,VIC 
Cherington,Electorate,Mayo,SA 
Carnarvon,Electorate,Port Adelaide,SA 
Croydon West,Electorate,Port Adelaide,SA 
Monreith Estate,Electorate,Adelaide,SA 
Ridleyton,Electorate,Port Adelaide,SA 
Almond Grove,Electorate,Port Adelaide,SA 
Kilkenny Extension,Electorate,Port Adelaide,SA 
Gelland,Electorate,Port Adelaide,SA 
Croydon Estate,Electorate,Port Adelaide,SA 
Monrieth Estate,Electorate,Adelaide,SA 
Bridgewater Estate,Electorate,Mayo,SA 
Hillside,Electorate,Port Adelaide,SA 
Kilkenny East,Electorate,Port Adelaide,SA 
Maitland Park,Electorate,Grey,SA 
Ulyerra,Electorate,Grey,SA 
Centenary Estate,Electorate,Port Adelaide,SA 
COBDEN,Electorate,Wannon,VIC 
Croydon North,Electorate,Port Adelaide,SA 
JANCOURT EAST,Electorate,Wannon,VIC 
Beaumont East,Electorate,Adelaide,SA 
Laurel Park,Electorate,Port Adelaide,SA 
Toorak Gardens,Electorate,Adelaide,SA 
St  Clair,Electorate,Port Adelaide,SA 
Seaton Park East,Electorate,Port Adelaide,SA 
North Adelaide,Electorate,Port Adelaide,SA 
North Adelaide,Electorate,Port Adelaide,SA 
Kent Town,Electorate,Port Adelaide,SA 
Cleland,Electorate,Sturt,SA 
Mount Barker,Electorate,Mayo,SA 
Maitland South,Electorate,Grey,SA 
Toorak,Electorate,Adelaide,SA 
Coombe,Electorate,Barker,SA 
Linden Park Gardens,Electorate,Adelaide,SA 
Tusmore,Electorate,Adelaide,SA 
Burnside Village,Electorate,Adelaide,SA 
Ovingham,Electorate,Port Adelaide,SA 
Eldridge,Electorate,Canning,WA 
CAPE OTWAY,Electorate,Corangamite,VIC 
Mount Barker North,Electorate,Mayo,SA 
Piccadilly,Electorate,Sturt,SA 
Carlton,Electorate,Port Adelaide,SA 
Kilkenny,Electorate,Port Adelaide,SA 
Tusmore Park,Electorate,Adelaide,SA 
Tusmore Gardens,Electorate,Adelaide,SA 
Yosemite Park,Electorate,Mayo,SA 
Wadderin,Electorate,O'Connor,WA 
Hahndorf South,Electorate,Mayo,SA 
Yantaringa South,Electorate,Mayo,SA 
Renown Park,Electorate,Port Adelaide,SA 
Holyoake,Electorate,Canning,WA 
Hazelwood,Electorate,Adelaide,SA 
Hazelwood Park,Electorate,Adelaide,SA 
North Ovingham,Electorate,Port Adelaide,SA 
Vailima Court,Electorate,Port Adelaide,SA 
Ovingham Park,Electorate,Port Adelaide,SA 
Hackney,Electorate,Port Adelaide,SA 
Totness,Electorate,Mayo,SA 
The Acacias,Electorate,Adelaide,SA 
Heathpool,Electorate,Adelaide,SA 
NAREEB,Electorate,Wannon,VIC 
NAREEB,Electorate,Wannon,VIC 
Clifton,Electorate,Adelaide,SA 
East Totness,Electorate,Mayo,SA 
Croydon Park North,Electorate,Port Adelaide,SA 
Croydonville,Electorate,Port Adelaide,SA 
Hahndorf,Electorate,Mayo,SA 
Ambleside,Electorate,Mayo,SA 
College Town,Electorate,Port Adelaide,SA 
DWELLINGUP,Electorate,Canning,GA 
Toorak East,Electorate,Adelaide,SA 
HAHNDORF,Electorate,Mayo,GA 
Norwood,Electorate,Adelaide,SA 
Rogues Point,Electorate,Grey,SA 
Fitzroy,Electorate,Port Adelaide,SA 
Finsbury Park,Electorate,Port Adelaide,SA 
Challa Gardens,Electorate,Port Adelaide,SA 
Burnside South,Electorate,Adelaide,SA 
Devon Park West,Electorate,Port Adelaide,SA 
GLENDINNING,Electorate,Wannon,VIC 
Chichester Gardens,Electorate,Port Adelaide,SA 
Woodville North,Electorate,Port Adelaide,SA 
Maitland,Electorate,Grey,SA 
Maitland,Electorate,Grey,SA 
Marryatville,Electorate,Adelaide,SA 
MAITLAND,Electorate,Grey,GA 
Fitzroy North,Electorate,Port Adelaide,SA 
Burnside,Electorate,Adelaide,SA 
North Bannister,Electorate,O'Connor,WA 
Teesdale,Electorate,Canning,WA 
Croydon Park,Electorate,Port Adelaide,SA 
Devon Park,Electorate,Port Adelaide,SA 
Kirchebergen,Electorate,Mayo,SA 
Dwellingup,Electorate,Canning,WA 
MONA PARK,Electorate,Wannon,VIC 
Thorngate,Electorate,Port Adelaide,SA 
Derwent Bridge,Electorate,Lyons,TAS 
College Park,Electorate,Port Adelaide,SA 
Aldersyde,Electorate,O'Connor,WA 
Bywell,Electorate,Port Adelaide,SA 
Kilkerran,Electorate,Grey,SA 
Berum,Electorate,Barker,SA 
Burnalta,Electorate,Adelaide,SA 
Knightsbridge,Electorate,Adelaide,SA 
Bridgewater Park,Electorate,Mayo,SA 
KOLORA,Electorate,Wannon,VIC 
Southport,Electorate,Franklin,TAS 
Southport,Electorate,Franklin,AHO 
Pella,Electorate,Mayo,SA 
College Park Extension,Electorate,Port Adelaide,SA 
Upper Kensington,Electorate,Adelaide,SA 
Prospect View,Electorate,Port Adelaide,SA 
Coonalpyn,Electorate,Barker,SA 
Coonalpyn,Electorate,Barker,SA 
